Transaction,Item,date_time,weekday_weekend
519,Amanah Galon,3/9/2024,weekday
520,Indo Aceh,3/9/2024,weekday
520,Indo G Geprek,3/9/2024,weekday
520,Indo Rendang,3/9/2024,weekday
521,Sunco 2L,3/9/2024,weekday
522,Gula Pasir,3/9/2024,weekday
523,Minyak Kita 1L,3/9/2024,weekday
523,Hemart 1L,3/9/2024,weekday
524,Amanah Galon,3/9/2024,weekday
524,Aqua Galon,3/9/2024,weekday
524,Le Mineral Galon,3/9/2024,weekday
525,Aqua Galon,3/9/2024,weekday
526,Sunco 2L,3/9/2024,weekday
526,Sunco 1L,3/9/2024,weekday
527,Sawit,3/9/2024,weekday
527,Gula Pasir,3/9/2024,weekday
528,Amanah Galon,3/9/2024,weekday
529,Indo Goreng,3/9/2024,weekday
529,Indo Soto,3/9/2024,weekday
530,Minyak Kita 1L,4/9/2024,weekday
531,Sedap Goreng,4/9/2024,weekday
531,Sedap AB,4/9/2024,weekday
531,Sedap Soto,4/9/2024,weekday
531,Segitiga 1Kg,4/9/2024,weekday
531,Gula Pasir,4/9/2024,weekday
531,Bango,4/9/2024,weekday
531,Le Mineral 600ml,4/9/2024,weekday
532,Amanah Galon,4/9/2024,weekday
533,Minyak Kita 1L,4/9/2024,weekday
534,Aqua 600ml,4/9/2024,weekday
534,Le Mineral 600ml,4/9/2024,weekday
535,Aqua Galon,4/9/2024,weekday
536,Le Mineral Galon,4/9/2024,weekday
537,Gula Pasir,4/9/2024,weekday
537,Garam,4/9/2024,weekday
537,Segitiga 1Kg,4/9/2024,weekday
538,Aqua Galon,5/9/2024,weekday
539,Amanah 500ml,5/9/2024,weekday
539,Amanah 330ml,5/9/2024,weekday
540,Indo Goreng,5/9/2024,weekday
540,Indo Rendang,5/9/2024,weekday
540,Sedap Goreng,5/9/2024,weekday
541,Amanah Galon,5/9/2024,weekday
542,Sawit,5/9/2024,weekday
543,Gula Pasir,5/9/2024,weekday
544,Sunco 2L,5/9/2024,weekday
544,Sunco 1L,5/9/2024,weekday
545,Amanah Galon,5/9/2024,weekday
546,Gas 3Kg,5/9/2024,weekday
547,Le Mineral Galon,5/9/2024,weekday
548,Amanah Galon,5/9/2024,weekday
549,Amanah Galon,5/9/2024,weekday
550,Fortune 1L,6/9/2024,weekday
550,Fortune 2 L,6/9/2024,weekday
551,Minyak Kita 1L,6/9/2024,weekday
551,Kara,6/9/2024,weekday
552,Amanah Galon,6/9/2024,weekday
553,Amanah Galon,6/9/2024,weekday
554,Sawit,7/9/2024,weekend
555,Garam,7/9/2024,weekend
555,Bango,7/9/2024,weekend
555,Segitiga 1Kg,7/9/2024,weekend
555,Lencana Merah,7/9/2024,weekend
556,Aqua Galon,7/9/2024,weekend
556,Aqua 600ml,7/9/2024,weekend
557,Indo Rendang,7/9/2024,weekend
557,Indo Aceh,7/9/2024,weekend
558,Minyak Kita 1L,7/9/2024,weekend
559,Amanah Galon,7/9/2024,weekend
560,Amanah Galon,7/9/2024,weekend
561,Hemart 1L,7/9/2024,weekend
561,Hemart 1/2 L Refill,7/9/2024,weekend
561,Hemart 2 L Refill,7/9/2024,weekend
562,Amanah Galon,8/9/2024,weekend
563,Indo Rendang,8/9/2024,weekend
563,Indo Aceh,8/9/2024,weekend
563,Indo Goreng,8/9/2024,weekend
564,Amanah 500ml,8/9/2024,weekend
565,Gas 3Kg,8/9/2024,weekend
566,Sawit,8/9/2024,weekend
567,Amanah Galon,8/9/2024,weekend
568,Amanah Galon,8/9/2024,weekend
569,Sunco 2L,8/9/2024,weekend
569,Sunco 1L,8/9/2024,weekend
570,Minyak Kita 1L,8/9/2024,weekend
570,Gula Pasir,8/9/2024,weekend
571,Le Mineral Galon,8/9/2024,weekend
571,Aqua Galon,8/9/2024,weekend
571,Amanah Galon,8/9/2024,weekend
572,Gula Pasir,8/9/2024,weekend
573,Sedap Goreng,9/9/2024,weekday
573,Sedap AB,9/9/2024,weekday
573,Sedap Soto,9/9/2024,weekday
573,Aqua 600ml,9/9/2024,weekday
573,Segitiga 1Kg,9/9/2024,weekday
574,Sawit,9/9/2024,weekday
575,Minyak Kita 1L,9/9/2024,weekday
575,Sunlight,9/9/2024,weekday
575,Bango,9/9/2024,weekday
576,Indo Goreng,9/9/2024,weekday
577,Sedap Goreng,9/9/2024,weekday
578,Indo AB,9/9/2024,weekday
578,Indo Rendang,9/9/2024,weekday
578,Hemart 1L,9/9/2024,weekday
579,Amanah Galon,9/9/2024,weekday
580,Sunco 2L,9/9/2024,weekday
580,Sunco 1L,9/9/2024,weekday
581,Segitiga 1Kg,10/9/2024,weekday
582,Bango,10/9/2024,weekday
582,Aqua Galon,10/9/2024,weekday
582,Aqua 600ml,10/9/2024,weekday
582,Le Mineral 600ml,10/9/2024,weekday
582,Indo Soto,10/9/2024,weekday
582,Indo Goreng,10/9/2024,weekday
583,Sunco 1L,10/9/2024,weekday
584,Sunco 2L,10/9/2024,weekday
585,Amanah Galon,10/9/2024,weekday
586,Gula Pasir,10/9/2024,weekday
586,Aqua Galon,10/9/2024,weekday
587,Gula Pasir,10/9/2024,weekday
587,Kara,10/9/2024,weekday
588,Amanah 330ml,10/9/2024,weekday
588,Amanah 500ml,10/9/2024,weekday
589,Sawit,10/9/2024,weekday
590,Minyak Kita 1L,10/9/2024,weekday
591,Amanah Galon,10/9/2024,weekday
592,Aqua Galon,11/9/2024,weekday
592,Le Mineral Galon,11/9/2024,weekday
593,Indo Goreng,11/9/2024,weekday
593,Indo Rendang,11/9/2024,weekday
593,Sedap Goreng,11/9/2024,weekday
594,Gas 3Kg,11/9/2024,weekday
594,Sawit,11/9/2024,weekday
595,Amanah Galon,11/9/2024,weekday
596,Amanah Galon,11/9/2024,weekday
597,Gula Pasir,11/9/2024,weekday
598,Aqua Galon,11/9/2024,weekday
598,Amanah Galon,11/9/2024,weekday
598,Le Mineral 600ml,11/9/2024,weekday
598,Garam,11/9/2024,weekday
598,Hemart 1L,11/9/2024,weekday
599,Amanah Galon,11/9/2024,weekday
599,Minyak Kita 1L,11/9/2024,weekday
600,Gula Pasir,11/9/2024,weekday
600,Minyak Kita 1L,11/9/2024,weekday
600,Le Mineral 600ml,11/9/2024,weekday
601,Sunco 1L,11/9/2024,weekday
601,Segitiga 1Kg,11/9/2024,weekday
601,Indo AB,11/9/2024,weekday
601,Indo Goreng,11/9/2024,weekday
602,Sawit,11/9/2024,weekday
602,Kara,11/9/2024,weekday
603,Amanah Galon,11/9/2024,weekday
604,Amanah Galon,12/9/2023,weekday
604,Amanah 500ml,12/9/2023,weekday
604,Amanah 330ml,12/9/2023,weekday
605,Hemart 1L,12/9/2023,weekday
605,Sunco 1L,12/9/2023,weekday
605,Fortune 1L,12/9/2023,weekday
605,Segitiga 1Kg,12/9/2023,weekday
605,Lencana Merah,12/9/2023,weekday
605,Bango,12/9/2023,weekday
605,Aqua 600ml,12/9/2023,weekday
605,Le Mineral 600ml,12/9/2023,weekday
605,Bango,12/9/2023,weekday
605,Minyak Kita 1L,12/9/2023,weekday
606,Gula Pasir,12/9/2023,weekday
607,Sawit,12/9/2023,weekday
608,Aqua Galon,12/9/2023,weekday
608,Gas 3Kg,12/9/2023,weekday
609,Amanah Galon,12/9/2023,weekday
610,Sedap Goreng,13/9/2024,weekday
610,Sedap AB,13/9/2024,weekday
610,Sedap Soto,13/9/2024,weekday
610,Indo Soto,13/9/2024,weekday
610,Hemart 1L,13/9/2024,weekday
611,Le Mineral Galon,13/9/2024,weekday
612,Gula Pasir,13/9/2024,weekday
612,Sunco 2L,13/9/2024,weekday
613,Amanah 330ml,13/9/2024,weekday
614,Amanah Galon,13/9/2024,weekday
615,Amanah Galon,13/9/2024,weekday
616,Gas 3Kg,13/9/2024,weekday
617,Gula Pasir,13/9/2024,weekday
617,Minyak Kita 1L,13/9/2024,weekday
617,Indo Goreng,13/9/2024,weekday
617,Indo AB,13/9/2024,weekday
618,Amanah Galon,14/9/2024,weekend
618,Aqua Galon,14/9/2024,weekend
618,Hemart 1L,14/9/2024,weekend
618,Hemart 1/2 L Refill,14/9/2024,weekend
619,Indo G Geprek,14/9/2024,weekend
619,Indo Goreng,14/9/2024,weekend
619,Indo Rendang,14/9/2024,weekend
619,Indo Aceh,14/9/2024,weekend
620,Gula Pasir,14/9/2024,weekend
621,Amanah Galon,14/9/2024,weekend
622,Amanah Galon,14/9/2024,weekend
622,Sawit,14/9/2024,weekend
623,Kara,14/9/2024,weekend
623,Bango,14/9/2024,weekend
623,Sunlight,14/9/2024,weekend
624,Sawit,14/9/2024,weekend
624,Segitiga 1Kg,14/9/2024,weekend
625,Aqua Galon,14/9/2024,weekend
625,Amanah Galon,14/9/2024,weekend
625,Sedap Goreng,14/9/2024,weekend
625,Gula Pasir,14/9/2024,weekend
626,Amanah Galon,14/9/2024,weekend
627,Hemart 1/2 L Refill,15/9/2024,weekend
627,Hemart 1L,15/9/2024,weekend
627,Sawit,15/9/2024,weekend
628,Minyak Kita 1L,15/9/2024,weekend
629,Amanah Galon,15/9/2024,weekend
630,Amanah Galon,15/9/2024,weekend
631,Sunco 2L,15/9/2024,weekend
632,Amanah Galon,15/9/2024,weekend
633,Aqua Galon,15/9/2024,weekend
634,Sedap Goreng,15/9/2024,weekend
634,Sedap AB,15/9/2024,weekend
634,Hemart 1/2 L Refill,15/9/2024,weekend
634,Teh Pucuk,15/9/2024,weekend
635,Indo Soto,15/9/2024,weekend
635,Sedap Soto,15/9/2024,weekend
636,Le Mineral Galon,15/9/2024,weekend
636,Le Mineral 600ml,15/9/2024,weekend
637,Gas 3Kg,16/9/2024,weekday
638,Sunco 2L,16/9/2024,weekday
638,Fortune 2 L,16/9/2024,weekday
639,Gula Pasir,16/9/2024,weekday
639,Garam,16/9/2024,weekday
640,Amanah Galon,16/9/2024,weekday
641,Amanah Galon,16/9/2024,weekday
642,Minyak Kita 1L,16/9/2024,weekday
643,Wall Stapler,16/9/2024,weekday
644,Segitiga 1Kg,16/9/2024,weekday
644,Minyak Kita 1L,16/9/2024,weekday
644,Amanah Galon,16/9/2024,weekday
644,Aqua 600ml,16/9/2024,weekday
644,Aqua Galon,16/9/2024,weekday
645,Sawit,16/9/2024,weekday
646,Hemart 1L,17/9/2024,weekday
647,Sedap Goreng,17/9/2024,weekday
647,Sedap AB,17/9/2024,weekday
647,Segitiga 1Kg,17/9/2024,weekday
647,Gula Pasir,17/9/2024,weekday
647,Bango,17/9/2024,weekday
647,Le Mineral 600ml,17/9/2024,weekday
648,Amanah Galon,17/9/2024,weekday
649,Amanah Galon,17/9/2024,weekday
649,Amanah 330ml,17/9/2024,weekday
650,Amanah Galon,17/9/2024,weekday
651,Aqua Galon,17/9/2024,weekday
651,Amanah Galon,17/9/2024,weekday
651,Le Mineral Galon,17/9/2024,weekday
652,Sawit,17/9/2024,weekday
653,Indo Goreng,17/9/2024,weekday
653,Indo Rendang,17/9/2024,weekday
653,Indo AB,17/9/2024,weekday
653,Indo Soto,17/9/2024,weekday
654,Gas 3Kg,17/9/2024,weekday
655,Gula Pasir,18/9/2024,weekday
656,Sunco 2L,18/9/2024,weekday
657,Indo Goreng,18/9/2024,weekday
657,Indo AB,18/9/2024,weekday
657,Segitiga 1Kg,18/9/2024,weekday
657,Sunco 1L,18/9/2024,weekday
657,Le Mineral 600ml,18/9/2024,weekday
658,Minyak Kita 1L,18/9/2024,weekday
658,Sedap Goreng,18/9/2024,weekday
658,Sedap AB,18/9/2024,weekday
658,Lencana Merah,18/9/2024,weekday
659,Amanah Galon,18/9/2024,weekday
660,Amanah Galon,18/9/2024,weekday
661,Aqua Galon,18/9/2024,weekday
662,Amanah Galon,18/9/2024,weekday
663,Sunco 1L,18/9/2024,weekday
664,Kara,18/9/2024,weekday
664,Sawit,18/9/2024,weekday
665,Hemart 1L,18/9/2024,weekday
665,Garam,18/9/2024,weekday
665,Gula Pasir,18/9/2024,weekday
665,Sawit,18/9/2024,weekday
665,Bango,18/9/2024,weekday
666,Gula Pasir,19/9/2024,weekday
666,Sunco 2L,19/9/2024,weekday
666,Sedap Goreng,19/9/2024,weekday
666,Fortune 2 L,19/9/2024,weekday
667,Minyak Kita 1L,19/9/2024,weekday
668,Amanah Galon,19/9/2024,weekday
668,Gas 3Kg,19/9/2024,weekday
669,Amanah Galon,19/9/2024,weekday
670,Amanah Galon,19/9/2024,weekday
671,Le Mineral Galon,19/9/2024,weekday
672,Aqua Galon,19/9/2024,weekday
672,Aqua 600ml,19/9/2024,weekday
672,Le Mineral Galon,19/9/2024,weekday
672,Segitiga 1Kg,19/9/2024,weekday
672,Gula Pasir,19/9/2024,weekday
672,Minyak Kita 1L,19/9/2024,weekday
673,Sawit,19/9/2024,weekday
674,Teh Pucuk,19/9/2024,weekday
675,Bango,19/9/2024,weekday
675,Le Mineral 600ml,19/9/2024,weekday
676,Indo Goreng,19/9/2024,weekday
676,Indo Aceh,19/9/2024,weekday
676,Sedap Goreng,19/9/2024,weekday
677,Le Mineral 600ml,20/9/2024,weekday
677,Aqua 600ml,20/9/2024,weekday
677,Teh Pucuk,20/9/2024,weekday
678,Amanah Galon,20/9/2024,weekday
679,Aqua Galon,20/9/2024,weekday
680,Sawit,20/9/2024,weekday
680,Gula Pasir,20/9/2024,weekday
680,Garam,20/9/2024,weekday
681,Indo Goreng,20/9/2024,weekday
681,Indo Rendang,20/9/2024,weekday
682,Fortune 1L,20/9/2024,weekday
682,Fortune 2 L,20/9/2024,weekday
682,Minyak Kita 1L,20/9/2024,weekday
683,Gas 3Kg,20/9/2024,weekday
684,Amanah Galon,20/9/2024,weekday
685,Amanah Galon,20/9/2024,weekday
685,Le Mineral Galon,20/9/2024,weekday
686,Sunco 2L,20/9/2024,weekday
687,Segitiga 1Kg,20/9/2024,weekday
687,Bango,20/9/2024,weekday
688,Amanah Galon,21/9/2024,weekend
689,Aqua Galon,21/9/2024,weekend
689,Le Mineral Galon,21/9/2024,weekend
690,Amanah 330ml,21/9/2024,weekend
690,Amanah 500ml,21/9/2024,weekend
691,Indo Aceh,21/9/2024,weekend
691,Indo G Geprek,21/9/2024,weekend
691,Indo Soto,21/9/2024,weekend
691,Indo AB,21/9/2024,weekend
692,Sawit,21/9/2024,weekend
692,Garam,21/9/2024,weekend
692,Sunlight,21/9/2024,weekend
692,Bango,21/9/2024,weekend
693,Amanah Galon,21/9/2024,weekend
694,Gula Pasir,21/9/2024,weekend
695,Sawit,21/9/2024,weekend
696,Minyak Kita 1L,21/9/2024,weekend
696,Segitiga 1Kg,21/9/2024,weekend
696,Lencana Merah,21/9/2024,weekend
697,Indo Goreng,22/9/2024,weekend
697,Sedap Goreng,22/9/2024,weekend
697,Indo Rendang,22/9/2024,weekend
697,Indo AB,22/9/2024,weekend
697,Sedap AB,22/9/2024,weekend
698,Sunco 2L,22/9/2024,weekend
698,Hemart 1L,22/9/2024,weekend
699,Sawit,22/9/2024,weekend
700,Amanah Galon,22/9/2024,weekend
701,Amanah Galon,22/9/2024,weekend
702,Amanah Galon,22/9/2024,weekend
703,Indo Goreng,22/9/2024,weekend
703,Sedap Goreng,22/9/2024,weekend
704,Aqua Galon,22/9/2024,weekend
704,Amanah Galon,22/9/2024,weekend
704,Aqua 600ml,22/9/2024,weekend
705,Gula Pasir,22/9/2024,weekend
705,Garam,22/9/2024,weekend
705,Bango,22/9/2024,weekend
706,Gula Pasir,22/9/2024,weekend
707,Sawit,22/9/2024,weekend
708,Amanah Galon,22/9/2024,weekend
709,Gula Pasir,23/9/2024,weekday
710,Sawit,23/9/2024,weekday
711,Amanah Galon,23/9/2024,weekday
712,Amanah Galon,23/9/2024,weekday
713,Sunco 2L,23/9/2024,weekday
714,Minyak Kita 1L,23/9/2024,weekday
714,Hemart 1L,23/9/2024,weekday
715,Le Mineral 600ml,23/9/2024,weekday
715,Aqua 600ml,23/9/2024,weekday
715,Amanah 500ml,23/9/2024,weekday
715,Amanah 330ml,23/9/2024,weekday
715,Aqua Galon,23/9/2024,weekday
716,Sawit,23/9/2024,weekday
717,Amanah Galon,23/9/2024,weekday
718,Indo AB,23/9/2024,weekday
718,Sedap AB,23/9/2024,weekday
719,Aqua Galon,23/9/2024,weekday
719,Le Mineral Galon,23/9/2024,weekday
719,Aqua 600ml,23/9/2024,weekday
719,Le Mineral 600ml,23/9/2024,weekday
719,Teh Pucuk,23/9/2024,weekday
720,Wall Stapler,23/9/2024,weekday
721,Gas 3Kg,23/9/2024,weekday
722,Amanah Galon,24/9/2024,weekday
723,Amanah Galon,24/9/2024,weekday
724,Sawit,24/9/2024,weekday
725,Gula Pasir,24/9/2024,weekday
726,Amanah Galon,24/9/2024,weekday
726,Aqua Galon,24/9/2024,weekday
726,Le Mineral Galon,24/9/2024,weekday
727,Amanah Galon,24/9/2024,weekday
728,Indo Goreng,24/9/2024,weekday
728,Sedap Goreng,24/9/2024,weekday
728,Indo Rendang,24/9/2024,weekday
729,Aqua Galon,24/9/2024,weekday
729,Aqua 600ml,24/9/2024,weekday
729,Minyak Kita 1L,24/9/2024,weekday
730,Amanah Galon,25/9/2024,weekday
731,Amanah Galon,25/9/2024,weekday
732,Sawit,25/9/2024,weekday
734,Gula Pasir,25/9/2024,weekday
734,Sunco 2L,25/9/2024,weekday
735,Sawit,25/9/2024,weekday
735,Lencana Merah,25/9/2024,weekday
736,Amanah Galon,25/9/2024,weekday
736,Aqua Galon,25/9/2024,weekday
737,Kara,25/9/2024,weekday
737,Bango,25/9/2024,weekday
737,Sunlight,25/9/2024,weekday
738,Gas 3Kg,25/9/2024,weekday
739,Amanah Galon,25/9/2024,weekday
740,Sedap Soto,25/9/2024,weekday
740,Indo Soto,25/9/2024,weekday
741,Le Mineral Galon,25/9/2024,weekday
742,Minyak Kita 1L,25/9/2024,weekday
742,Garam,25/9/2024,weekday
742,Gula Pasir,25/9/2024,weekday
743,Segitiga 1Kg,26/9/2024,weekday
743,Sunco 2L,26/9/2024,weekday
743,Fortune 2 L,26/9/2024,weekday
743,Hemart 2 L Refill,26/9/2024,weekday
743,Aqua Galon,26/9/2024,weekday
743,Le Mineral Galon,26/9/2024,weekday
743,Gula Pasir,26/9/2024,weekday
743,Le Mineral 600ml,26/9/2024,weekday
743,Sedap Goreng,26/9/2024,weekday
743,Indo Goreng,26/9/2024,weekday
743,Indo AB,26/9/2024,weekday
743,Indo Rendang,26/9/2024,weekday
744,Amanah Galon,26/9/2024,weekday
745,Amanah Galon,26/9/2024,weekday
745,Amanah 330ml,26/9/2024,weekday
745,Amanah 500ml,26/9/2024,weekday
746,Sawit,26/9/2024,weekday
746,Gula Pasir,26/9/2024,weekday
747,Minyak Kita 1L,26/9/2024,weekday
748,Sunco 1L,26/9/2024,weekday
748,Indo Goreng,26/9/2024,weekday
748,Indo Rendang,26/9/2024,weekday
749,Segitiga 1Kg,26/9/2024,weekday
749,Kara,26/9/2024,weekday
750,Gas 3Kg,27/9/2024,weekday
751,Aqua Galon,27/9/2024,weekday
751,Aqua 600ml,27/9/2024,weekday
752,Minyak Kita 1L,27/9/2024,weekday
753,Sawit,27/9/2024,weekday
753,Gula Pasir,27/9/2024,weekday
754,Le Mineral 600ml,27/9/2024,weekday
754,Teh Pucuk,27/9/2024,weekday
755,Indo Goreng,27/9/2024,weekday
755,Indo Rendang,27/9/2024,weekday
755,Indo Aceh,27/9/2024,weekday
755,Indo AB,27/9/2024,weekday
756,Amanah Galon,27/9/2024,weekday
757,Amanah Galon,27/9/2024,weekday
758,Amanah Galon,27/9/2024,weekday
758,Amanah 500ml,27/9/2024,weekday
758,Amanah 330ml,27/9/2024,weekday
759,Sunlight,27/9/2024,weekday
759,Bango,27/9/2024,weekday
759,Segitiga 1Kg,27/9/2024,weekday
760,Gula Pasir,27/9/2024,weekday
760,Garam,27/9/2024,weekday
760,Sawit,27/9/2024,weekday
761,Amanah Galon,28/9/2024,weekend
762,Amanah Galon,28/9/2024,weekend
763,Sawit,28/9/2024,weekend
764,Gas 3Kg,28/9/2024,weekend
765,Sunco 2L,28/9/2024,weekend
766,Hemart 1L,28/9/2024,weekend
766,Minyak Kita 1L,28/9/2024,weekend
767,Amanah Galon,28/9/2024,weekend
768,Kara,28/9/2024,weekend
768,Segitiga 1Kg,28/9/2024,weekend
769,Sedap Goreng,28/9/2024,weekend
769,Sedap AB,28/9/2024,weekend
769,Sedap Soto,28/9/2024,weekend
770,Hemart 1L,29/9/2024,weekend
770,Sunco 1L,29/9/2024,weekend
770,Fortune 1L,29/9/2024,weekend
770,Segitiga 1Kg,29/9/2024,weekend
770,Lencana Merah,29/9/2024,weekend
770,Bango,29/9/2024,weekend
770,Aqua 600ml,29/9/2024,weekend
770,Le Mineral 600ml,29/9/2024,weekend
770,Bango,29/9/2024,weekend
770,Minyak Kita 1L,29/9/2024,weekend
770,Teh Pucuk,29/9/2024,weekend
771,Amanah Galon,29/9/2024,weekend
772,Sawit,29/9/2024,weekend
772,Segitiga 1Kg,29/9/2024,weekend
773,Gas 3Kg,29/9/2024,weekend
774,Amanah Galon,29/9/2024,weekend
774,Le Mineral Galon,29/9/2024,weekend
774,Aqua Galon,29/9/2024,weekend
775,Sunco 2L,29/9/2024,weekend
776,Indo Goreng,29/9/2024,weekend
776,Indo AB,29/9/2024,weekend
777,Amanah Galon,29/9/2024,weekend
778,Indo Soto,29/9/2024,weekend
778,Sedap Soto,29/9/2024,weekend
778,Indo Aceh,29/9/2024,weekend
779,Amanah Galon,29/9/2024,weekend
780,Amanah Galon,29/9/2024,weekend
781,Gula Pasir,29/9/2024,weekend
781,Garam,29/9/2024,weekend
781,Sunlight,29/9/2024,weekend
781,Bango,29/9/2024,weekend
782,Amanah Galon,30/9/2024,weekday
783,Amanah Galon,30/9/2024,weekday
784,Aqua Galon,30/9/2024,weekday
784,Amanah Galon,30/9/2024,weekday
784,Le Mineral Galon,30/9/2024,weekday
785,Sawit,30/9/2024,weekday
785,Garam,30/9/2024,weekday
786,Minyak Kita 1L,30/9/2024,weekday
786,Lencana Merah,30/9/2024,weekday
786,Amanah 500ml,30/9/2024,weekday
787,Sawit,30/9/2024,weekday
